,Year,Area,Date,Road,Municipality Name,County Name,Province Name,Fatalties,Serious Injuries,Light Injuries,Units Involved,Pedestrains Involved,Bicycles Involved,Mopeds Involved,Motorcycles,Light Vehicles Involved,Heavy Vehicles Involved,Other Units Involved,Unspecified Units Involved,Road Speed Limit,Accident with Hit and Run,Fog Presence,Surrounding Environment,Special Lane Presence,Special Traffic Measures,Weather Conditions,Special Road Functions,Severity of Accident,Influence of Fog,Influence of Environment,Influence of Traffic,Influence of Weather,Influence of Wind Intensity,Influence of Lighting,Influence of Special Measures,Influence of Road Objects,Influence of Road Surface,Influence of Visibility,Intersection Characteristics,Lighting Conditions,Traffic Regulation and Priority,Direction of Road,Subtype of Accident,Subtype of Road Section,Subzone within Area,Road Surface Conditions,Type of Road,Road Ownership,Wind Conditions,Day of the Week Grouping,Hour of Day,Time of Day Grouping,Type of Accident,Day,Month
0,2010,1,2010-01-25,SE,CANOVES I SAMALUS,Valles Oriental,3,0,1,0,2,0,0,0,0,1,0,1,0,100.0,0.0,0,3,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,5,5,0,Encalç,1,2,2,5,-1,2,1,23.33,2,2,25,1
1,2010,0,2010-10-31,N-240,LLEIDA,Segria,2,0,1,3,1,0,0,0,0,1,0,0,0,40.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,5,4,1,Resta sortides de via,0,1,2,4,1,2,0,1.0,2,1,31,10
2,2010,0,2010-05-17,N-II,FORNELLS DE LA SELVA,Girones,1,1,0,2,4,0,0,0,0,2,2,0,0,80.0,0.0,0,2,No n'hi ha,-1.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,1,2,1,15.27,1,2,17,5
3,2010,1,2010-08-21,SE,BARCELONA,Barcelones,3,0,2,7,2,0,0,0,0,2,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,5,3,0,Envestida (frontal lateral),2,2,2,5,-1,2,0,22.3,2,2,21,8
4,2010,1,2010-05-07,SE,BADALONA,Barcelones,3,0,1,0,1,0,0,0,1,0,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,5,0,Caiguda en la via,2,2,2,5,-1,2,0,17.45,1,0,7,5
5,2010,0,2010-08-16,SE,SANT CARLES DE LA RAPITA,Montsia,0,0,1,1,2,0,0,1,0,1,0,0,0,40.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,4,1,Encalç,1,1,2,3,0,2,1,14.57,1,2,16,8
6,2010,1,2010-01-13,SE,BARCELONA,Barcelones,3,0,1,0,2,0,0,0,1,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,5,-1,1,Encalç,-1,2,2,5,-1,2,1,20.54,1,2,13,1
7,2010,1,2010-10-23,SE,BARCELONA,Barcelones,3,1,0,1,2,1,0,0,1,0,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Atropellament,-1,2,2,5,-1,2,0,10.55,0,3,23,10
8,2010,0,2010-06-19,AP-7,MOLLET DEL VALLES,Valles Oriental,3,0,1,2,2,0,0,0,0,2,0,0,0,100.0,0.0,0,3,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3,-1,1,Envestida (frontal lateral),-1,1,2,4,1,2,0,5.3,2,2,19,6
9,2010,0,2010-02-12,SE,CERDANYOLA DEL VALLES,Valles Occidental,3,0,1,0,2,0,0,0,1,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,1,2,3,0,2,1,14.3,1,2,12,2
10,2010,1,2010-06-16,C-31,TORROELLA DE MONTGRI,Baix Emporda,1,0,1,1,3,2,0,0,0,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,4,-1,1,Atropellament,-1,0,2,4,2,2,1,18.3,1,3,16,6
11,2010,1,2010-10-12,SE,ODENA,Anoia,3,0,1,0,2,0,0,1,0,1,0,0,0,30.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,0,0,2,-1,1,Col·lisió frontal,-1,2,1,5,0,2,1,13.5,0,2,12,10
12,2010,0,2010-05-23,N-II,GIRONA,Girones,1,0,1,0,2,0,0,0,1,1,0,0,0,80.0,0.0,0,1,No n'hi ha,-1.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,1,2,4,1,2,0,16.05,1,2,23,5
13,2010,1,2010-12-17,SE,BARCELONA,Barcelones,3,0,1,0,2,0,0,0,1,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Caiguda en la via,-1,2,2,5,-1,2,1,9.1,0,0,17,12
14,2010,1,2010-10-15,SE,REUS,Baix Camp,0,0,1,0,2,1,0,0,1,0,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,Atropellament,-1,2,2,5,-1,2,1,13.0,0,3,15,10
15,2010,1,2010-06-20,SE,OLOT,Garrotxa,1,0,1,1,3,1,0,0,1,1,0,0,0,30.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Atropellament,-1,2,2,5,-1,2,0,13.02,0,3,20,6
16,2010,1,2010-09-15,SE,LLEIDA,Segria,2,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,Atropellament,-1,2,2,5,-1,2,1,9.15,0,3,15,9
17,2010,0,2010-07-28,B-522,MANLLEU,Osona,3,0,1,2,3,0,0,0,0,3,0,0,0,100.0,0.0,0,0,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,4,4,1,Encalç,2,1,2,4,3,2,1,8.0,0,2,28,7
18,2010,1,2010-07-02,SE,BARCELONA,Barcelones,3,1,0,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,Atropellament,-1,2,2,5,-1,2,0,16.4,1,3,2,7
19,2010,0,2010-03-20,C-14,ORGANYA,Alt Urgell,2,0,3,5,3,0,0,0,0,3,0,0,0,100.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,4,1,Col·lisió frontal,1,1,2,4,2,2,0,11.04,0,2,20,3
20,2010,0,2010-08-24,GI-673,CALDES DE MALAVELLA,Selva,1,0,1,1,2,0,0,0,0,2,0,0,0,100.0,0.0,0,0,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,2,2,1,15.15,1,2,24,8
21,2010,0,2010-12-31,LV-3021,ARTESA DE SEGRE,Noguera,2,0,1,0,1,0,0,0,0,1,0,0,0,90.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,-1,0,4,-1,1,Xoc contra objecte/obstacle sense sortida prèvia de via,-1,1,2,4,3,2,1,13.0,0,4,31,12
22,2010,1,2010-10-19,SE,MARTORELL,Baix Llobregat,3,0,1,1,2,0,0,0,0,1,1,0,0,40.0,0.0,0,2,No n'hi ha,-1.0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,4,3,1,Envestida (frontal lateral),2,0,2,5,-1,2,1,11.2,0,2,19,10
23,2010,0,2010-05-28,C-17,TAGAMANENT,Valles Oriental,3,0,1,0,1,0,0,0,0,1,0,0,0,80.0,0.0,0,2,No n'hi ha,-1.0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,0,Resta sortides de via,-1,1,0,4,2,2,1,14.5,1,1,28,5
24,2010,1,2010-02-08,SE,TERRASSA,Valles Occidental,3,1,0,0,2,0,0,0,1,1,0,0,0,50.0,0.0,0,2,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1,Fregament o col·lisió lateral,2,2,2,5,-1,2,1,5.51,2,2,8,2
25,2010,1,2010-10-31,SE,MOLLET DEL VALLES,Valles Oriental,3,0,1,0,1,0,0,0,0,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,5,5,1,Xoc contra objecte/obstacle sense sortida prèvia de via,1,2,2,5,-1,2,0,7.47,0,4,31,10
26,2010,0,2010-08-25,SE,"PRAT DE LLOBREGAT, E",Baix Llobregat,3,0,1,0,2,1,0,0,0,0,1,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,Atropellament,-1,1,2,3,-1,2,1,11.39,0,3,25,8
27,2010,1,2010-06-23,SE,"FULIOLA, LA",Urgell,2,1,0,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,4,-1,1,Atropellament,-1,0,2,5,2,2,1,20.25,1,3,23,6
28,2010,1,2010-01-24,SE,BARCELONA,Barcelones,3,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Atropellament,-1,2,2,5,-1,2,0,15.3,1,3,24,1
29,2010,1,2010-04-03,SE,MANRESA,Bages,3,0,1,1,2,1,0,1,0,0,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,5,-1,0,Atropellament,-1,2,1,5,-1,2,0,22.3,2,3,3,4
30,2010,1,2010-02-12,SE,ROQUETES,Baix Ebre,0,0,1,0,1,0,0,0,0,0,1,0,0,20.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,1,0,4,-1,1,Caiguda en la via,-1,2,2,5,0,2,0,17.45,1,0,12,2
31,2010,1,2010-09-14,TP-7225,"MORELL, EL",Tarragones,0,0,1,0,3,0,0,1,0,2,0,0,0,50.0,0.0,0,2,No n'hi ha,-1.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,5,-1,1,Envestida (frontal lateral),-1,0,2,4,3,2,1,20.41,1,2,14,9
32,2010,1,2010-02-25,SE,BARCELONA,Barcelones,3,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,Atropellament,-1,2,2,5,-1,2,1,12.2,0,3,25,2
33,2010,0,2010-07-20,AL,BARCELONA,Barcelones,3,0,2,0,2,0,0,1,1,0,0,0,0,30.0,0.0,0,-1,Carril habilitat en sentit contrari habitual,0.0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,3,2,1,9.5,0,2,20,7
34,2010,0,2010-07-02,C-1415B,LLICA D'AMUNT,Valles Oriental,3,0,1,1,2,0,0,0,0,1,1,0,0,100.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,2,2,0,19.46,1,2,2,7
35,2010,1,2010-10-11,SE,BARCELONA,Barcelones,3,0,2,2,6,0,0,1,4,0,1,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,Caiguda en la via,-1,2,1,5,-1,2,1,6.5,0,0,11,10
36,2010,0,2010-01-03,C-55,COLLBATO,Baix Llobregat,3,1,1,1,4,0,0,0,0,4,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,1,Col·lisió frontal,-1,1,0,4,2,2,0,18.58,1,2,3,1
37,2010,1,2010-04-14,SE,TERRASSA,Valles Occidental,3,0,1,0,2,1,0,0,0,0,1,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,Atropellament,-1,2,2,5,-1,2,1,13.48,0,3,14,4
